Dataset,Missingness Ratio,Mechanism,Iteration,ROC-AUC Score,Impute,precision,recall,sensitivity,specificity,ppv,npv,f1
open_ml_breast_cancer,0.1,MCAR,9,1,global,0.86238654,0.721537668,0.740915363,0.904757939,0.902809086,0.860758907,0.802142583
open_ml_breast_cancer,0.1,MCAR,10,1,global,0.881814979,0.764184177,0.725808551,0.962414888,0.852678789,0.879365738,0.819119086
open_ml_breast_cancer,0.1,MAR,1,1,global,0.865648231,0.941176471,0.941176471,0.926413474,0.897618514,0.976190476,0.96969697
open_ml_breast_cancer,0.1,MAR,2,1,global,0.894341234,0.764684306,0.741184097,0.952698423,0.89821195,0.876551653,0.775719901
open_ml_breast_cancer,0.1,MAR,3,1,global,0.90072429,0.740754315,0.745637233,0.939519923,0.888884303,0.883822415,0.800830201
open_ml_breast_cancer,0.1,MAR,4,1,global,0.859585075,0.749712433,0.753648857,0.962482149,0.850371488,0.895787162,0.7966473
open_ml_breast_cancer,0.1,MAR,5,1,global,0.882645113,0.750498885,0.757730547,0.9149573,0.864382587,0.865281832,0.789616636
open_ml_breast_cancer,0.1,MAR,6,1,global,0.893191985,0.768202541,0.719245475,0.94394509,0.897242491,0.888509179,0.806424128
open_ml_breast_cancer,0.1,MAR,7,1,global,0.865152543,0.74756842,0.72601328,0.956507106,0.866886152,0.879917206,0.775418956
open_ml_breast_cancer,0.1,MAR,8,1,global,0.842164345,0.736117799,0.72890046,0.962080245,0.870585823,0.885236187,0.786573756
open_ml_breast_cancer,0.1,MAR,9,1,global,0.875733779,0.731163381,0.758127945,0.919162916,0.873999547,0.913862312,0.796247384
open_ml_breast_cancer,0.1,MAR,10,1,global,0.842283947,0.728955467,0.767915753,0.917267581,0.841474885,0.912062635,0.787775732
open_ml_breast_cancer,0.1,MNAR,1,1,global,0.890326269,0.748507534,0.743360591,0.935747042,0.89731533,0.885025853,0.787184768
open_ml_breast_cancer,0.1,MNAR,2,1,global,0.856837561,0.750148767,0.73223328,0.918446937,0.858283881,0.868567162,0.803165582
open_ml_breast_cancer,0.1,MNAR,3,1,global,0.884731164,0.737805783,0.752737995,0.933892775,0.853582066,0.907670373,0.784237494
open_ml_breast_cancer,0.1,MNAR,4,1,global,0.854378088,0.72918997,0.76305146,0.942926459,0.865215457,0.91075976,0.788734781
open_ml_breast_cancer,0.1,MNAR,5,1,global,0.880279397,0.754632196,0.746510859,0.923774114,0.846229775,0.893585006,0.781385557
open_ml_breast_cancer,0.1,MNAR,6,1,global,0.88793211,0.75329561,0.766150225,0.959997821,0.900022965,0.892609014,0.811834482
open_ml_breast_cancer,0.1,MNAR,7,1,global,0.846651642,0.733462288,0.724189233,0.958831759,0.85278996,0.902748363,0.813298905
open_ml_breast_cancer,0.1,MNAR,8,1,global,0.855514579,0.764931421,0.739804349,0.941565103,0.860467353,0.907288356,0.804180341
open_ml_breast_cancer,0.1,MNAR,9,1,global,0.873318105,0.722363048,0.764910223,0.918313315,0.863538495,0.879364171,0.795433741
open_ml_breast_cancer,0.1,MNAR,10,1,global,0.883061735,0.768763785,0.750146233,0.95568044,0.890765985,0.895605514,0.801605057
open_ml_breast_cancer,0.2,MCAR,1,1,global,0.856802109,0.723166577,0.766698418,0.907482181,0.844233418,0.885672014,0.78991416
open_ml_breast_cancer,0.2,MCAR,2,1,global,0.84243586,0.757981071,0.768896605,0.944496009,0.881878091,0.893282258,0.773329143
open_ml_breast_cancer,0.2,MCAR,3,1,global,0.874934581,0.770546446,0.730715439,0.934704262,0.869836133,0.90042782,0.776306054
open_ml_breast_cancer,0.2,MCAR,4,1,global,0.860447667,0.734134052,0.752027354,0.95082845,0.859236058,0.890876451,0.790355094
open_ml_breast_cancer,0.2,MCAR,5,1,global,0.864523339,0.725965089,0.729320025,0.929464524,0.882319183,0.866825416,0.787795652
open_ml_breast_cancer,0.2,MCAR,6,1,global,0.863504141,0.731934734,0.721342093,0.961358224,0.879347715,0.863983685,0.770640083
open_ml_breast_cancer,0.2,MCAR,7,1,global,0.881223066,0.75674694,0.757929812,0.909476146,0.858465928,0.885672987,0.816443921
open_ml_breast_cancer,0.2,MCAR,8,1,global,0.866596844,0.744535618,0.76602292,0.947455557,0.873029171,0.90084837,0.78934894
open_ml_breast_cancer,0.2,MCAR,9,1,global,0.87829237,0.720713932,0.720154386,0.941395449,0.86784876,0.902100531,0.777208956
open_ml_breast_cancer,0.2,MCAR,10,1,global,0.849444987,0.727870069,0.73280037,0.932170988,0.862702529,0.866621986,0.808458973
open_ml_breast_cancer,0.2,MAR,1,1,global,0.857955579,0.767655802,0.753878373,0.9609539,0.850397212,0.895291182,0.788471119
open_ml_breast_cancer,0.2,MAR,2,1,global,0.898283282,0.760399899,0.755558673,0.954509893,0.881395251,0.867933434,0.773700556
open_ml_breast_cancer,0.2,MAR,3,1,global,0.874797709,0.941176471,0.941176471,0.94411043,0.85268154,0.976190476,0.96969697
open_ml_breast_cancer,0.2,MAR,4,1,global,0.845086789,0.722728999,0.745104438,0.900097507,0.876944023,0.911883194,0.802072887
open_ml_breast_cancer,0.2,MAR,5,1,global,0.850266522,0.740079738,0.769171804,0.940894929,0.890586174,0.866275726,0.799871644
open_ml_breast_cancer,0.2,MAR,6,1,global,0.883824404,0.75976555,0.738863897,0.937282918,0.88231922,0.914161056,0.806155304
open_ml_breast_cancer,0.2,MAR,7,1,global,0.895959193,0.748793199,0.744813196,0.944754936,0.899321618,0.884971029,0.794205647
open_ml_breast_cancer,0.2,MAR,8,1,global,0.849249043,0.768146988,0.746600079,0.934378889,0.897936717,0.911204601,0.816532374
open_ml_breast_cancer,0.2,MAR,9,1,global,0.897807882,0.730967496,0.732512761,0.907818616,0.90025395,0.911773417,0.79363408
open_ml_breast_cancer,0.2,MAR,10,1,global,0.843294309,0.941176471,0.941176471,0.961940636,0.892840144,0.976190476,0.96969697
open_ml_breast_cancer,0.2,MNAR,1,1,global,0.881737744,0.723833739,0.756996586,0.926399193,0.883475168,0.902874334,0.801029698
open_ml_breast_cancer,0.2,MNAR,2,1,global,0.900153666,0.739261284,0.735372968,0.959189769,0.884893524,0.892369079,0.786468265
open_ml_breast_cancer,0.2,MNAR,3,1,global,0.894572344,0.762794557,0.754875211,0.902497225,0.895312052,0.861501866,0.769683944
open_ml_breast_cancer,0.2,MNAR,4,1,global,0.859036789,0.767159783,0.755846096,0.942200598,0.848517086,0.894351116,0.817002388
open_ml_breast_cancer,0.2,MNAR,5,1,global,0.844676684,0.750388449,0.737578251,0.94632507,0.891670389,0.866656546,0.806787337
open_ml_breast_cancer,0.2,MNAR,6,1,global,0.84392656,0.726614005,0.762562998,0.923137291,0.865901287,0.876741189,0.778608961
open_ml_breast_cancer,0.2,MNAR,7,1,global,0.849488257,0.755854585,0.722712848,0.936655386,0.902639523,0.895722301,0.783428944
open_ml_breast_cancer,0.2,MNAR,8,1,global,0.862791407,0.766500257,0.746551197,0.927529732,0.846667902,0.912072874,0.767657285
open_ml_breast_cancer,0.2,MNAR,9,1,global,0.867569897,0.736069381,0.72597414,0.910749571,0.847200077,0.894329701,0.807239241
open_ml_breast_cancer,0.2,MNAR,10,1,global,0.853579254,0.751186362,0.756924632,0.910810739,0.842612692,0.874455931,0.802994976
open_ml_breast_cancer,0.3,MCAR,1,1,global,0.891314128,0.734479962,0.73148804,0.945481938,0.863832727,0.896338584,0.781137496
open_ml_breast_cancer,0.3,MCAR,2,1,global,0.882707394,0.767057033,0.722836775,0.961389021,0.898050542,0.891058356,0.800681531
open_ml_breast_cancer,0.3,MCAR,3,1,global,0.892788505,0.770292642,0.725126112,0.925315527,0.891258767,0.857827188,0.786917742
open_ml_breast_cancer,0.3,MCAR,4,1,global,0.852082386,0.941176471,0.941176471,0.922555587,0.857256331,0.976190476,0.96969697
open_ml_breast_cancer,0.3,MCAR,5,1,global,0.841725418,0.761053423,0.740832499,0.900047207,0.883115487,0.881345575,0.814715808
open_ml_breast_cancer,0.3,MCAR,6,1,global,0.900913974,0.745860829,0.745597334,0.906112932,0.876514658,0.867101611,0.77859052
open_ml_breast_cancer,0.3,MCAR,7,1,global,0.84607987,0.762784155,0.72640808,0.924967221,0.899580994,0.864881693,0.767394313
open_ml_breast_cancer,0.3,MCAR,8,1,global,0.847434206,0.750920392,0.755970583,0.954983955,0.883602772,0.913974123,0.803449343
open_ml_breast_cancer,0.3,MCAR,9,1,global,0.89557899,0.729300441,0.721504313,0.947345231,0.849936995,0.866157688,0.804202625
open_ml_breast_cancer,0.3,MCAR,10,1,global,0.884563225,0.767591696,0.72901171,0.938564721,0.891923299,0.85440568,0.802002242
open_ml_breast_cancer,0.3,MAR,1,1,global,0.850666101,0.748028669,0.741275358,0.952691757,0.897872489,0.892726294,0.798624364
open_ml_breast_cancer,0.3,MAR,2,1,global,0.857101461,0.730669769,0.746289567,0.932808475,0.885746588,0.868969214,0.773391933
open_ml_breast_cancer,0.3,MAR,3,1,global,0.887865558,0.744372589,0.728755025,0.938877698,0.889806964,0.912376892,0.808017441
open_ml_breast_cancer,0.3,MAR,4,1,global,0.883158051,0.726999592,0.724039151,0.940940323,0.860006804,0.861306458,0.799347105
open_ml_breast_cancer,0.3,MAR,5,1,global,0.88357671,0.766088787,0.766136811,0.939248192,0.895206357,0.908960082,0.772911475
open_ml_breast_cancer,0.3,MAR,6,1,global,0.853501436,0.763724079,0.749356654,0.909845952,0.844195442,0.884001053,0.771982217
open_ml_breast_cancer,0.3,MAR,7,1,global,0.861105596,0.941176471,0.941176471,0.941713484,0.880284726,0.976190476,0.96969697
open_ml_breast_cancer,0.3,MAR,8,1,global,0.880968728,0.735137578,0.732705751,0.959535698,0.861990533,0.887497436,0.766680297
open_ml_breast_cancer,0.3,MAR,9,1,global,0.849883368,0.941176471,0.941176471,0.939119331,0.843868228,0.976190476,0.96969697
open_ml_breast_cancer,0.3,MAR,10,1,global,0.861574446,0.737694198,0.729080513,0.948249086,0.893539891,0.862461932,0.797604056
open_ml_breast_cancer,0.3,MNAR,1,1,global,0.888267731,0.735950599,0.759596198,0.928564052,0.860484088,0.86128599,0.819402284
open_ml_breast_cancer,0.3,MNAR,2,1,global,0.871492341,0.941176471,0.941176471,0.916867213,0.894751064,0.976190476,0.96969697
open_ml_breast_cancer,0.3,MNAR,3,1,global,0.896788353,0.75225722,0.761373721,0.948740276,0.846235116,0.875550539,0.796385333
open_ml_breast_cancer,0.3,MNAR,4,1,global,0.898124785,0.744205297,0.731295412,0.93864825,0.894190341,0.894792933,0.807404643
open_ml_breast_cancer,0.3,MNAR,5,1,global,0.891884432,0.74982153,0.759823791,0.921982486,0.858458058,0.876785178,0.809080916
open_ml_breast_cancer,0.3,MNAR,6,1,global,0.854245142,0.752457348,0.7427753,0.959436571,0.84387403,0.877428498,0.795750249
open_ml_breast_cancer,0.3,MNAR,7,1,global,0.853071943,0.748982447,0.738305558,0.937484311,0.850246736,0.909272185,0.811696156
open_ml_breast_cancer,0.3,MNAR,8,1,global,0.876553393,0.752549533,0.74259236,0.946219472,0.89747322,0.897350133,0.787564392
open_ml_breast_cancer,0.3,MNAR,9,1,global,0.868763073,0.758088086,0.725507209,0.922782846,0.875599614,0.913903323,0.7792889
open_ml_breast_cancer,0.3,MNAR,10,1,global,0.844172611,0.771391735,0.747138568,0.919787355,0.844080103,0.871233959,0.817512742
pima_indians_diabetes,0.1,MCAR,1,1,global,0.902622126,0.755776993,0.771676225,0.9122891,0.882333134,0.897423628,0.803253653
pima_indians_diabetes,0.1,MCAR,2,1,global,0.876605264,0.741180062,0.76875043,0.959781326,0.894994854,0.885341335,0.810255013
pima_indians_diabetes,0.1,MCAR,3,1,global,0.900044422,0.77055674,0.7402917,0.940280447,0.859522577,0.884575001,0.769105326
pima_indians_diabetes,0.1,MCAR,4,1,global,0.885594285,0.75121337,0.761083469,0.92168612,0.878361071,0.900444117,0.786282907
pima_indians_diabetes,0.1,MCAR,5,1,global,0.879913255,0.767330449,0.74730625,0.933511814,0.899419601,0.876269308,0.770370603
pima_indians_diabetes,0.1,MCAR,6,1,global,0.865007462,0.747420337,0.735036121,0.956398023,0.880842681,0.862506023,0.80119582
