Dataset,Missingness Ratio,Mechanism,Iteration,ROC-AUC Score,Impute,precision,recall,sensitivity,specificity,ppv,npv,f1
breast_cancer,0.2,MCAR,1,0.98,XGBagging,1.0,0.971830985915493,0.971830985915493,1.0,1.0,0.9555555555555556,0.9857142857142858
breast_cancer,0.2,MCAR,2,0.9793580085162136,XGBagging,0.9726027397260274,1.0,1.0,0.9534883720930233,0.9726027397260274,1.0,0.9861111111111112
breast_cancer,0.2,MCAR,3,0.978716017032427,XGBagging,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.9767441860465116,0.9859154929577465,0.9767441860465116,0.9859154929577465
breast_cancer,0.2,MCAR,4,0.98,XGBagging,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MCAR,5,0.9779135276776941,XGBagging,0.958904109589041,0.9859154929577465,0.9859154929577465,0.9302325581395349,0.958904109589041,0.975609756097561,0.9722222222222222
breast_cancer,0.2,MCAR,6,0.9793580085162136,XGBagging,0.9722222222222222,0.9859154929577465,0.9859154929577465,0.9534883720930233,0.9722222222222222,0.9761904761904762,0.979020979020979
breast_cancer,0.2,MCAR,7,0.9783950212905339,XGBagging,0.9722222222222222,0.9859154929577465,0.9859154929577465,0.9534883720930233,0.9722222222222222,0.9761904761904762,0.979020979020979
breast_cancer,0.2,MCAR,8,0.9793580085162136,XGBagging,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.9767441860465116,0.9859154929577465,0.9767441860465116,0.9859154929577465
breast_cancer,0.2,MCAR,9,0.98,XGBagging,0.9861111111111112,1.0,1.0,0.9767441860465116,0.9861111111111112,1.0,0.993006993006993
breast_cancer,0.2,MCAR,10,0.98,XGBagging,0.9861111111111112,1.0,1.0,0.9767441860465116,0.9861111111111112,1.0,0.993006993006993
