Dataset,Missingness Ratio,Mechanism,Iteration,Impute,precision,recall,sensitivity,specificity,ppv,npv,f1
breast_cancer,0.1,MNAR,3,local,0.9337304458789927,0.6983517024453756,0.684384668396468,0.9297866703474482,0.9337304458789927,0.6610051756717933,0.7887669525034962
breast_cancer,0.1,MNAR,4,local,0.9404069660675494,0.6830670800031922,0.6694057384031283,0.9255503396265277,0.9404069660675494,0.6492621956651996,0.7798059148506957
breast_cancer,0.1,MNAR,5,local,0.8912174265443211,0.7548785424438657,0.7397809715949883,0.894007466485138,0.8912174265443211,0.6972395237551814,0.8242431451717083
breast_cancer,0.1,MNAR,6,local,0.9285554110656381,0.770196454052913,0.7547925249718548,0.9331448312964514,0.9285554110656381,0.7312174323762202,0.8454366796724051
breast_cancer,0.1,MNAR,7,local,0.9276365703719145,0.6699655020318815,0.6565661919912439,0.9330027817990943,0.9276365703719145,0.6411183304243739,0.7806725956778783
breast_cancer,0.1,MNAR,8,local,0.92241372502639,0.6133465636026428,0.6010796323305899,0.9273257323330808,0.92241372502639,0.6010810449395654,0.7468308586191675
breast_cancer,0.1,MNAR,9,local,0.9393988336148713,0.5765933437457327,0.565061476870818,0.9395334158179828,0.9393988336148713,0.567258858891896,0.7064371121887879
breast_cancer,0.1,MNAR,10,local,0.9243726547560978,0.6179032786529365,0.6055452130798777,0.9248396926005997,0.9243726547560978,0.592562305593312,0.7443050518691375
breast_cancer,0.2,MCAR,1,local,0.9229874179532264,0.5506711215645601,0.5396576991332689,0.940680069990553,0.9229874179532264,0.5509402252580591,0.6892604580799143
breast_cancer,0.2,MCAR,2,local,0.9268502475970588,0.46759502523530366,0.4582431247305976,0.9302232180603907,0.9268502475970588,0.5128565926238248,0.6238585128806003
breast_cancer,0.2,MCAR,3,local,0.9403797885466981,0.46194315780118866,0.4527042946451649,0.9222736759273574,0.9403797885466981,0.5064096785609116,0.6125259217204444
breast_cancer,0.2,MCAR,4,local,0.9115324529871035,0.6059752079535919,0.5938557037945201,0.9157595658173069,0.9115324529871035,0.5820483336883885,0.721723231049434
breast_cancer,0.2,MCAR,5,local,0.9227190030404612,0.4733937888062343,0.4639259130301096,0.9322028824503092,0.9227190030404612,0.5134308505389704,0.6202962637672749
breast_cancer,0.2,MCAR,6,local,0.9219367730011317,0.47141108144605737,0.4619828598171362,0.9331626292854718,0.9219367730011317,0.5149744504064068,0.6328206738952793
breast_cancer,0.2,MCAR,7,local,0.9227782238879726,0.6321760544885321,0.6195325333987615,0.927550735943631,0.9227782238879726,0.6048558694554871,0.7517764694232001
breast_cancer,0.2,MCAR,8,local,0.9257027600600273,0.4228998677988137,0.4144418704428374,0.9212707819262069,0.9257027600600273,0.48943654708533874,0.5728932893612517
breast_cancer,0.2,MCAR,9,local,0.9396331336099569,0.4758573194959217,0.46634017310600323,0.929931705163303,0.9396331336099569,0.5089724126039666,0.6215548877828897
